folder,profile_name,surface_ini,surface_old,surface_new
20160221,S36M0719,131.28512396694214,133.55164729547687,131.52892010752112
20160222,S36M0722,180.69421487603304,182.394620455103,180.74792630923912
20160222,S36M0723,180.04545454545453,182.394620455103,180.0454469998367
20160222,S36M0724,182.08264462809916,183.38635595072992,181.93800890399143
20160222,S36M0726,182.10330578512398,183.1384220768232,181.9421411352232
20160223,S36M0729,157.39256198347107,159.33677018177696,157.54131571156904
20160223,S36M0730,157.59504132231405,160.08057180349715,157.65701818605885
20160223,S36M0731,156.84297520661158,159.08883630787022,155.78098520683125
20160223,S36M0732,156.93388429752065,159.83263792959042,156.2768529546447
20160223,S36M0733,157.28512396694214,159.83263792959042,157.61982810497284
20160224,S36M0736,141.72314049586777,143.46900225174613,141.640489931684
20160224,S36M0737,142.22314049586777,143.9648699995596,142.19007668551058
20160224,S36M0738,142.36363636363637,144.7086716212798,142.9090849198401
20160224,S36M0739,142.96280991735537,145.20453936909325,142.99172954447567
20160224,S36M0740,141.1818181818182,143.2210683778394,141.2644568895921
20160225,S36M0743,136.66528925619835,138.26239089970477,136.64462237246335
20160225,S36M0744,134.73553719008265,136.77478765626438,134.72726708091795
20160225,S36M0747,129.62396694214877,131.07230855640955,129.69834167184308
20160226,S36M0750,138.54545454545453,141.733465134399,139.30577928572893
20160226,S36M0751,135.52479338842974,138.26239089970477,23.400825465563685
20160226,S36M0752,137.79338842975207,140.98966351267882,138.55371320154518
20160226,S36M0753,140.71487603305786,145.20453936909325,140.6776800546795
20160226,S36M0754,144.39256198347107,147.1880103603471,144.85536583000794
20160227,S36M0757,152.97520661157026,155.12189432536252,153.2892497740686
20160227,S36M0758,154.55371900826447,156.85743144270964,154.76858855504543
20160227,S36M0759,157.09504132231405,158.8409024339635,157.16528266947716
20160227,S36M0760,147.12396694214877,149.17148135160096,147.46693596849218
20160227,S36M0761,146.38429752066116,148.6756136037875,146.2685889112763
20160228,S36M0765,165.07438016528926,167.27065414679237,165.39255505194888
20160228,S36M0766,157.34297520661158,158.8409024339635,157.36776199983433
20160228,S36M0767,157.94214876033058,159.83263792959042,157.84710082272068
20160229,S36M0771,174.30578512396696,175.20453811180778,174.05371171375737
20160229,S36M0772,175.59504132231405,176.69214135524817,175.53718272596598
20160229,S36M0773,177.1818181818182,178.17974459868856,177.04544712556526
20160229,S36M0774,169.29338842975207,171.98139775102027,169.71900115162134
20160229,S36M0775,165.56198347107437,168.01445576851256,165.65701785078272
20160301,S36M0778,142.08264462809916,145.20453936909325,141.74792794371024
20160301,S36M0779,149.71487603305786,154.37809270364232,150.59916724218056
20160301,S36M0780,152.10330578512398,155.61776207317598,152.51652253372595
20160301,S36M0781,136.16528925619835,139.74999414314516,136.6900769160129
20160301,S36M0782,127.13223140495867,130.82437468250282,127.22726739523932
20160302,S36M0785,110.09504132231405,113.22106963512488,110.72313585551456
20160302,S36M0786,110.31404958677686,114.46073900465854,111.11983005376533
20160302,S36M0787,108.90495867768595,111.98140026559122,109.02892105048522
20160302,S36M0788,106.88429752066116,110.49379702215083,107.52478888211772
20160302,S36M0789,104.61570247933884,109.00619377871044,106.14875588193536
20160303,S36M0792,164.87190082644628,167.02272027288564,164.7231335924007
20160303,S36M0793,165.37190082644628,167.76652189460583,165.43800959549844
20160303,S36M0794,168.7520661157025,171.23759612930007,167.70247231051326
20160303,S36M0795,168.89256198347107,171.98139775102027,168.81404251186177
20160303,S36M0796,166.56198347107437,169.74999288585968,166.74792689597234
20160304,S36M0799,36.52479338842975,40.57644458045252,40.2272710413672
20160304,S36M0800,37.27272727272727,296.940070200013,42.77685771137476
20160304,S36M0801,37.84297520661157,42.31198169779964,39.640494206454605
20160304,S36M0802,36.01239669421488,398.8408923756797,42.05784947704524
20160304,S36M0803,33.582644628099175,34.130163858877495,38.60330416727811
20160305,S36M0806,145.19421487603304,147.1880103603471,145.14875424746424
20160305,S36M0807,148.76446280991735,150.65908459504135,148.55371278245002
20160305,S36M0808,148.91322314049586,150.90701846894808,149.0289193741046
20160305,S36M0809,138.2520661157025,140.49379576486535,138.276853709016
20160305,S36M0810,130.31404958677686,132.3119779259432,130.39255651878193
20160306,S36M0813,62.413223140495866,67.1053690884728,64.4462782908231
20160306,S36M0814,61.46280991735537,63.88222872768529,60.82231150055304
20160306,S36M0815,58.66528925619835,64.87396422331221,62.60743539268151
20160306,S36M0816,59.80578512396694,66.60950134065934,62.64462547376752
20160306,S36M0817,59.93388429752066,67.35330296237953,62.297518050298095
20160307,S36M0820,120.24380165289256,123.6342923392076,121.0950362472795
20160307,S36M0821,123.21487603305785,126.11363107827492,122.64049072796479
20160307,S36M0822,120.06198347107438,130.08057306078263,127.41321780066937
20160307,S36M0823,121.64462809917356,130.82437468250282,128.60743262665346
20160307,S36M0824,125.61570247933884,133.0557795476634,132.9958621948026
20160308,S36M0827,82.90495867768595,86.44421125319786,83.91321962373331
20160308,S36M0828,83.50413223140495,86.6921451271046,83.8966906988062
20160308,S36M0829,83.57438016528926,87.93181449663825,85.93388069607317
20160308,S36M0830,69.48347107438016,74.04751755786128,70.78925323160365
20160308,S36M0831,69.13223140495867,73.30371593614109,70.0371871474199
20160309,S36M0834,139.82231404958677,141.733465134399,141.95453950529918
20160309,S36M0835,144.78512396694214,146.69214261253364,145.26445672195405
20160309,S36M0836,146.48347107438016,148.92354747769423,145.90908479411155
20160309,S36M0837,149.04545454545453,151.898753964575,150.48346476769075
20160309,S36M0838,149.08264462809916,153.13842333410867,150.48759699892253
20160310,S36M0842,139.93388429752065,142.72520063002594,139.7603247212246
20160310,S36M0843,139.74380165289256,142.22933288221247,139.58263877825812
20160310,S36M0844,140.87190082644628,144.21280387346633,140.90908500365913
20160310,S36M0845,139.31404958677686,144.21280387346633,140.18594453809783
20160310,S36M0846,135.77272727272728,138.5103247736115,139.05371318059042
20160311,S36M0852,120.90495867768595,122.89049071748741,120.49999494990334
20160311,S36M0853,114.95454545454545,117.68387936544605,116.29751578718424
20160311,S36M0854,115.44214876033058,118.9235487349797,115.33470591017976
20160311,S36M0855,116.93388429752066,120.16321810451336,118.32230909075588
20160311,S36M0856,120.15289256198348,122.64255684358068,119.45454044826329
20160312,S36M0860,111.13223140495867,112.72520188731141,111.05371435405686
20160312,S36M0862,115.59504132231405,117.18801161763258,115.49586292821914
20160312,S36M0863,115.69421487603306,116.94007774372585,114.86776378098875
20160313,S36M0866,120.69421487603306,123.6342923392076,121.46280482690781
20160313,S36M0867,122.18181818181819,124.3780939609278,124.00825926568359
20160313,S36M0868,117.18181818181819,119.17148260888644,119.85949910897762
20160313,S36M0869,114.55371900826447,115.7004083741922,114.12396215926856
20160313,S36M0870,118.64462809917356,119.41941648279317,118.36363140307367
20160314,S36M0873,121.19421487603306,123.6342923392076,121.42148251459002
20160314,S36M0874,125.86363636363636,127.35330044780858,125.94627571338788
20160314,S36M0875,118.21487603305785,120.4111519784201,118.19007769133896
20160314,S36M0876,124.65289256198348,127.10536657390185,124.68594518769532
20160314,S36M0877,128.83471074380165,130.82437468250282,128.76858964469284
20160315,S36M0882,147.51239669421489,150.65908459504135,148.2851177523844
